1.txt roommates 3643 False AH1|BF1|IH5|EA4|FI5|FA1|IB4|CH1|GF5|AI5|BE5|FH3|BI2|AE1|GH2|FE1|GI3|AG1|GA2|GB1|FG4|DI5|GD4|DH2|BH3|HI3|AB2|HA5|DB1|CG1|DE3|IC4|GE5|AF5|HC5|CI4|DA2|FB4|BG4|HG2|IA3|CF5|FC2|ID5|AD4|EG5|DC5|HF3|CD4|EB3|IE3|DG5|ED3|BA5 HD2|DF3|FD2|FC5|BD1|IF5|CI5|GD5|HB3|GC1|EI3|GF4|IG3 False
10.txt roommates 5639 False HC4|HE1|FG5|BG3|GB5|HI4|IA2|BH4|FC4|BE5|IC2|AF3|CI2|AD5|CG4|AI4|EB1|GE2|DF1|FD4|HB5|FA5|ID5|EH4|CH5|EG5|GC1|DI5|DA4|IH2 CF4|GF5 True
100.txt roommates 6130 False EB5|CE5|FA2|CD2|EI4|EH1|BG2|IE1|BE3|IF4|IB1|HE5|IC3|IA3|ID3|HB5 [empty] True
1000.txt roommates 4337 False HE1|FG2|GB5|BH4|AD3|CH4|FA4|IF4|DB2|BE2|FC4|DE4|DA3|EI4|BG2|GA5|CB5|EF2|GF4|AI1|DG3|HF4|CD2|ED1|CE1|IE1|AF5|HC5|CI4|FE3|HD3|DH1|ID2|GD3|CF5|BC3|BD4|EB3|GE4|DI2|AG2|HB5 FI4 False
101.txt roommates 4621 False HD5|BH1|CA5|HG1|EA1|EC4|FA1|GD5|BC5|AC1|CE5|EB5|DA3|AF3|GH5|FD5|HB4|IG5|DF2|BF3|IA4|GF1|AD5|ID3|BE1|HF1|DG3|CD2|FB1|AE3|GE5|GI2|GA4|DH1|CB1|DB3|DC2|HA4|BD4|EG5|DE5|FH4|DI2|ED3|AG2 GC2|DG5 False
102.txt roommates 3973 False FD3|FE2|CA5|HG1|GB5|FA4|DE4|EB5|AC1|ED5|GH2|IH1|GI3|AG4|FI1|GA5|CB5|BC4|EF5|IC4|AF5|HB3|CI4|BG1|DF4|EA5|HI2|BH5|AB4|FC5|IF5|FH4|IG3|BA5 [empty] True
103.txt roommates 8701 False AH1|HD2|HC4|FE2|HE1|IH5|CG2|CF4|CH1|EF3|BC5|EG4|DB5|BA1|IE2|EI1|CI2|IG2|CA1|FG4|AB5|AD5|FC3|HF1|BD5|IC4|GH4|HG2|GI5|DH1|CB4|EC2|EH4|HA4|IF5|FH1|CE3|GE4|AC2|DA4 HI5|GC2|FI5|GF4|BA5 True
104.txt roommates 1693 False AI5|DB5|DA4|AC5 [empty] True
105.txt roommates 3095 False GH3|CA2|GI4|IH5|AH4|GD2|CB3|HI1|IA5|EG1|DE1|CG5|AI2|DG4|BA4|EI1|IE5|AE4|HD1|GB4|EA3|DH5|AB5|GA5|HA2|FA3|BC4|ED1|EB1|CD5|GE5|IG1|DA5|HE5|DF4|BF5|HG5|AD4|FC5|DC2|EH1|HF3|GC4|FB3|AF4 GH5|CF5 True
106.txt roommates 3956 False ED5|FB5|DB3|HA1|IA2|AH3|FD5|GC5|EG5|AI3|CE4|GE5|IH3|BG1|CG4|BF5|HI2 [empty] True
107.txt roommates 8208 False BF1|CA2|AB3|EC4|ID4|HA3|FA4|DC4|BE5|AI2|DG4|CE5|DI4|ED5|CI2|GB1|GA5|GD4|GF4|EF5|EH2|IC1|EB4|CD2|GE5|AF5|DA2|HE2|FE3|FD1|AG3|FG3|HB5|BH5|AD1|DB3|EG2|BD4|DE5|AC5|AE2|FB3|BA5 CF2|FH5|GE2|FG4|GC1 False
